translated_title,translated_description,image,category,subcategory,
Japanese Mafer Premium Roasted Peanuts with Lemon 180 g,Japanese Mafer Premium Roasted Peanuts with Lemon 180 g - Prices including VAT,https://images.rappi.com.mx/products/975342843-1582323122050.png,snacks and confectionery,nuts and seeds,
Staedtler Mars Plastic Rubber Poster 3 Units,"• Considered the best rubber in the world • Sliding sleeve for better handling • Maximum efficiency: formula that leaves little residue, facilitating cleaning.",https://images.rappi.com.br/products/2092764475-1540823425.png,office supplies,office supplies,
"PAPEL HIG ROSE F,S NEUTRO 60M L24P22","PAPEL HIG ROSE F,S NEUTRO 60M L24P22",,,,
Organic Red Pitaya 500 g,Organic Red Pitaya 500 g,https://images.rappi.com.br/products/2094307123-1560550943.png,fruits and vegetables,fruits,
Rappicombo Powerade Tropical Fruits + cereal bars,Rappicombo includes Powerade Tropical Fruits 500ml PLU: 903981 and Higher Rotation Cereal Bars PLU: 94568,https://images.rappi.com/products/2090157504-1536784572.png,snacks and confectionery,cereal bars and granola,
Portion of polenta with parmesan,Portion of polenta with parmesan,,,,
Tram.Inox Game My Best Friend With 3Pcs -23799/491,Tram.Inox Game My Best Friend With 3Pcs -23799/491,https://images.rappi.com.br/products/2093401478-1559154874.png,accessories for babies,glasses and cutlery,
Chicco Tetina Tetina N.Feeling 6M Fl,Chicco Nipple Teat N. Feeling 6M Fl - Prices including VAT,https://images.rappi.com.mx/products/975644194-1536358291.png,accessories for babies,other baby accessories,
Mentos Pure White Mint 56 g,"Mentos Pure White Mint 56 g. (Key Words: Sweet, Convenience, Gelatin, Food, Health, Healthy, Dessert)",https://images.rappi.com.br/products/2094329348-1561052448003.png,snacks and confectionery,gumdrops and candy,
Renitec 5mg,"Your doctor has prescribed Renitec to control high blood pressure or improve your heart&#39;s performance (treatment of heart failure). Renitec is also used for the prevention of symptomatic heart failure. In many heart failure patients who have symptoms, Renitec slows the worsening of heart failure and reduces the need for hospitalization for heart failure. Renitec also helps some of these patients to live longer. In many patients with early-stage heart failure, before symptoms develop, Renitec helps to prevent weakened cardiac performance and delay the onset of symptoms (for example, shortness of breath, tiredness after light physical activities such as walking, or swelling of the ankles and feet). These patients may need fewer hospitalizations for heart failure. When taking Renitec, some patients with heart failure may be at lower risk of suffering a heart attack (myocardial infarction). RENITEC 5MG IS A MEDICINE. ITS USE MAY BRING RISKS. SEEK A PHYSICIAN OR PHARMACEUTICAL. READ THE BULA.",,other drugs,other drugs,
Milk of Roses,Milk of Roses,https://images.rappi.com.br/products/2094809199-1583281290668.png,deodorants,deodorants,
Minas Cheese Standard Pj Light Half,Minas Cheese Standard Pj Light Half (the price of this product may vary according to weight),https://images.rappi.com.br/products/2098289571-1590776376962.jpg,,,
Nail Polish Risque Love Mooring Love 8 mL,Nail Polish Risque Love Mooring Love 8 mL,https://images.rappi.com.br/products/2096651331-1578678874840.png,makeup,makeup nails,
Pieces of Atum,6 Units. Rice cake wrapped with fish and topping.,,,,
Filezinho Chips 6 300 g,Filezinho Chips 6 300 g,,,,
Pinol Liquid Antibacterial Lavender Cleaner 3.78 L,Pinol Liquid Antibacterial Lavender Cleaner 3.78 L,https://images.rappi.com.mx/products/975504343-1528473057.png,cleaning products,cleaning products,
50% in 2 Units Stain Remover Vanish 3L Bleach without,"Multi-purpose Vanish has 3x more benefits than chlorine, and can be used in both colored and white clothing, preserving fabrics.",https://images.rappi.com.br/products/2092883214-1579646740642.png,cleaning,multipurpose cleaners,
"Gift Box Imp. Bronze Ret. 29x22x13,5cm Small","Gift Box Imp. Bronze Ret. 29x22x13,5cm Small",https://images.rappi.com.br/products/2092968323-1584566487938.jpg,,,
Lindt Lindor Assor.Balls Italian Candy 75 g,Lindt Lindor Assor.Balls Italian Candy 75 g,https://images.rappi.com.br/products/2094464112-1566830501977.jpg,snacks and confectionery,chocolates,
Dredged De Crispie De Quinoa Flormel 35 g,Dredged De Crispie De Quinoa Flormel 35 g,https://images.rappi.com.br/products/2098327430-1590007374690.png,snacks and confectionery,chocolates,
